Native Status,Physiognomy,MN DNR Official Name,Common Name,Emerging (New) Taxonomy,Gleason & Cronquist Synonym
N,H,Agalinis purpurea var. purpurea,purple false foxglove,,Agalinis purpurea var. purpurea
N,H,Agalinis tenuifolia,slender-leaved false foxglove,,Agalinis tenuifolia
N,H,Agastache foeniculum,blue giant hyssop,,Agastache foeniculum
N,H,Agastache nepetoides,yellow giant hyssop,,Agastache nepetoides
N,H,Agastache scrophulariaefolia,purple giant hyssop,,Agastache scrophulariaefolia
N,H,Ageratina altissima var. altissima,white snakeroot,,Eupatorium rugosum var. rugosum
N,H,Agoseris glauca var. glauca,glaucous false dandelion,,Agoseris glauca var. glauca
N,H,Agrimonia gryposepala,common agrimony,,Agrimonia gryposepala
N,H,Agrimonia pubescens,downy agrimony,,Agrimonia pubescens
N,H,Agrimonia striata,roadside agrimony,,Agrimonia striata
I,G,Agropyron cristatum,crested wheatgrass,,Agropyron cristatum
I,H,Agrostemma githago var. githago,purple cockle,,
I,G,Agrostis gigantea,redtop,,Agrostis gigantea
N,G,Agrostis hyemalis,winter bentgrass,,"Agrostis hyemalis, Agrostis hyemalis var. hyemalis"
N,G,Agrostis perennans,autumn bentgrass,,Agrostis perennans
N,G,Agrostis scabra,rough bentgrass,,Agrostis hyemalis var. scabra
I,G,Agrostis stolonifera,spreading bentgrass,,"Agrostis stolonifera, Agrostis stolonifera var. palustris, Agrostis stolonifera var. stolonifera"
I,D,Ailanthus altissima,tree of heaven,,
N,"H,S",Alisma gramineum,narrow-leaved water plantain,,Alisma gramineum
N,H,Alisma subcordatum,heart-leaved water plantain,,Alisma subcordatum
N,H,Alisma triviale,common water plantain,,Alisma triviale
I,H,Alliaria petiolata,garlic mustard,,Alliaria petiolata
N,H,Allium canadense var. canadense,wild garlic,,Allium canadense var. canadense
N,H,Allium cernuum,nodding wild onion,,Allium cernuum
N,H,Allium schoenoprasum,wild chives,,"Allium schoenoprasum, Allium schoenoprasum var. sibiricum"
N,H,Allium stellatum,prairie wild onion,,Allium stellatum
N,H,Allium textile,white wild onion,,Allium textile
N,H,Allium tricoccum,wild leek,,Allium tricoccum s.l.
N,H,Allium tricoccum var. burdickii,Burdick's leek,,Allium tricoccum var. burdickii
N,H,Allium tricoccum var. tricoccum,wild leek,,Allium tricoccum var. tricoccum
I,H,Allium tuberosum,Chinese chive,,
N,D,Alnus incana subsp. rugosa,speckled alder,,Alnus incana var. americana
N,D,Alnus viridis subsp. crispa,green alder,,Alnus viridis var. crispa
N,G,Alopecurus aequalis var. aequalis,short-awn foxtail,,
I,G,Alopecurus arundinaceus,creeping meadow foxtail,,
N,G,Alopecurus carolinianus,Carolina foxtail,,Alopecurus carolinianus
I,G,Alopecurus pratensis,meadow foxtail,,Alopecurus pratensis
I,H,Althaea officinalis,marshmallow,,Althaea officinalis
I,H,Alyssum alyssoides,alyssum,,Alyssum alyssoides
I,H,Alyssum desertorum,desert madwort,,
N,H,Amaranthus albus,tumbleweed amaranth,,Amaranthus albus
I,H,Amaranthus blitoides,prostrate pigweed,,Amaranthus blitoides
I,H,Amaranthus hybridus,smooth pigweed,,Amaranthus hybridus
I,H,Amaranthus palmeri,Palmer's amaranth,,Amaranthus palmeri
I,H,Amaranthus powellii,Powell's amaranth,,Amaranthus powellii
I,H,Amaranthus retroflexus var. retroflexus,redroot amaranth,,
N,H,Amaranthus tuberculatus,tubercled amaranth,,"Amaranthus rudis, Amaranthus tuberculatus s.s."
I,H,Ambrosia acanthicarpa,annual bursage,,Ambrosia acanthicarpa
N,H,Ambrosia artemisiifolia,common ragweed,,Ambrosia artemisiifolia
N,H,Ambrosia psilostachya,western ragweed,,Ambrosia psilostachya
N,H,Ambrosia trifida,great ragweed,,"Ambrosia trifida, Ambrosia trifida var. trifida"
N,D,Amelanchier alnifolia,saskatoon juneberry,,Amelanchier alnifolia
N,D,Amelanchier arborea,downy serviceberry,,Amelanchier arborea
N,D,Amelanchier bartramiana,northern juneberry,,Amelanchier bartramiana
N,D,Amelanchier humilis,low juneberry,,"Amelanchier sanguinea s.l., Amelanchier sanguinea var. sanguinea"
N,D,Amelanchier interior,inland juneberry,,"Amelanchier interior s.s., Amelanchier xwiegandii"
N,D,Amelanchier intermedia,intermediate juneberry,,Amelanchier xintermedia
N,D,Amelanchier laevis,smooth juneberry,,Amelanchier laevis
N,D,Amelanchier sanguinea,round-leaved juneberry,,"Amelanchier sanguinea s.l., Amelanchier sanguinea var. sanguinea"
N,D,Amelanchier spicata,creeping juneberry,,Amelanchier spicata
N,H,Amerorchis rotundifolia,small round-leaved orchis,,Orchis rotundifolia
N,H,Ammannia robusta,grand redstem,,
N,G,Ammophila breviligulata subsp. breviligulata,beachgrass,,Ammophila breviligulata
N,D,Amorpha canescens,leadplant,,Amorpha canescens
N,D,Amorpha fruticosa,false indigo,,Amorpha fruticosa
N,D,Amorpha nana,fragrant false indigo,,Amorpha nana
N,H,Amphicarpaea bracteata,hog peanut,,Amphicarpaea bracteata
I,H,Anagallis arvensis,pimpernel,Lysimachia arvensis,Anagallis arvensis
N,H,Anagallis minima,chaffweed,Lysimachia minima,Centunculus minimus
N,H,Anaphalis margaritacea,pearly everlasting,,Anaphalis margaritacea
I,H,Anchusa arvensis,alkanet,,Anchusa arvensis
N,B,Andromeda polifolia var. latifolia,bog rosemary,,
N,G,Andropogon gerardii,big bluestem,,Andropogon gerardii
N,H,Androsace occidentalis,western androsace,,Androsace occidentalis
N,H,Androsace septentrionalis,northern androsace,,Androsace septentrionalis
N,H,Anemone acutiloba,sharp-lobed hepatica,,Hepatica acutiloba
N,H,Anemone americana,round-lobed hepatica,,Hepatica americana
N,H,Anemone canadensis,canada anemone,,Anemone canadensis
N,H,Anemone caroliniana,Carolina thimbleweed,,Anemone caroliniana
N,H,Anemone cylindrica,long-headed thimbleweed,,Anemone cylindrica
U,H,Anemone multifida var. multifida,cutleaf anemone,,
N,H,Anemone patens var. multifida,pasqueflower,,Anemone patens var. multifida
N,H,Anemone quinquefolia var. quinquefolia,wood anemone,,Anemone quinquefolia var. quinquefolia
N,H,Anemone virginiana,tall thimbleweed,,Anemone virginiana s.l.
N,H,Anemone virginiana var. alba,tall thimbleweed,,Anemone virginiana s.l.
N,H,Anemone virginiana var. cylindroidea,tall thimbleweed,,Anemone virginiana s.l.
N,H,Anemone virginiana var. virginiana,tall thimbleweed,,Anemone virginiana s.l.
I,H,Anethum graveolens,dill,,Anethum graveolens
N,H,Angelica atropurpurea,angelica,,Angelica atropurpurea
N,H,Antennaria howellii,Howell's pussytoes,,Antennaria neglecta s.l.
N,H,Antennaria howellii subsp. canadensis,Howell's pussytoes,,Antennaria neglecta var. canadensis
N,H,Antennaria howellii subsp. neodioica,Howell's pussytoes,,Antennaria neglecta var. neodioica
N,H,Antennaria howellii subsp. petaloidea,Howell's pussytoes,,Antennaria neglecta var. petaloidea
N,H,Antennaria microphylla,tiny-leaved pussytoes,,Antennaria microphylla
N,H,Antennaria neglecta,field pussytoes,,"Antennaria neglecta s.l., Antennaria neglecta var. neglecta"
N,H,Antennaria parlinii,Parlin's pussytoes,,Antennaria plantaginifolia s.l.
N,H,Antennaria parlinii subsp. fallax,Parlin's pussytoes,,Antennaria plantaginifolia var. ambigens
N,H,Antennaria parlinii subsp. parlinii,Parlin's pussytoes,,Antennaria plantaginifolia var. parlinii
N,H,Antennaria parvifolia,small-leaved pussytoes,,Antennaria parvifolia
N,H,Antennaria plantaginifolia,plantain-leaved pussytoes,,"Antennaria plantaginifolia s.l., Antennaria plantaginifolia var. plantaginifolia"
I,H,Anthemis cotula,dog fennel,,Anthemis cotula
N,G,Anthoxanthum hirtum,sweet grass,,Hierochloe odorata
I,G,Anthoxanthum odoratum,sweet vernal grass,,Anthoxanthum odoratum
I,H,Anthriscus sylvestris,chervil,,Anthriscus sylvestris
N,H,Apios americana,groundnut,,Apios americana
N,H,Aplectrum hyemale,puttyroot,,Aplectrum hyemale
N,H,Apocynum androsaemifolium,spreading dogbane,,Apocynum androsaemifolium
N,H,Apocynum cannabinum,American hemp,,"Apocynum cannabinum, Apocynum sibiricum"
N,H,Aquilegia canadensis,columbine,,Aquilegia canadensis
N,H,Arabidopsis lyrata subsp. lyrata,lyre-leaved rock cress,,
I,H,Arabidopsis thaliana,mouse ear cress,,
N,H,Arabis pycnocarpa var. pycnocarpa,hairy rock cress,,Arabis hirsuta var. pycnocarpa
N,"D,H",Aralia hispida,bristly sarsaparilla,,Aralia hispida
N,H,Aralia nudicaulis,wild sarsaparilla,,Aralia nudicaulis
N,H,Aralia racemosa,American spikenard,,Aralia racemosa
N,X,Arceuthobium pusillum,dwarf mistletoe,,Arceuthobium pusillum
I,H,Arctium lappa,great burdock,,Arctium lappa
I,H,Arctium minus,common burdock,,Arctium minus
I,H,Arctium tomentosum,woolly burdock,,Arctium tomentosum
N,B,Arctostaphylos uva-ursi,bearberry,,Arctostaphylos uva-ursi
I,H,Arenaria serpyllifolia var. serpyllifolia,thyme-leaved sandwort,,
N,H,Arethusa bulbosa,dragon's mouth,,Arethusa bulbosa
N,H,Arisaema dracontium,green dragon,,Arisaema dracontium
N,H,Arisaema triphyllum,Jack-in-the-pulpit,,"Arisaema triphyllum, Arisaema triphyllum var. pusillum, Arisaema triphyllum var. triphyllum"
N,G,Aristida basiramea,base-branched three-awn,,Aristida basiramea
N,G,Aristida dichotoma var. curtissii,churchmouse three-awn,,Aristida dichotoma var. curtissii
N,G,Aristida longespica var. geniculata,slimspike three-awn,,Aristida longespica var. geniculata
N,G,Aristida oligantha,prairie three-awn,,Aristida oligantha
N,G,Aristida purpurea var. longiseta,red three-awn,,Aristida purpurea var. longiseta
N,G,Aristida tuberculosa,seaside three-awn,,Aristida tuberculosa
I,H,Armoracia rusticana,horseradish,,Armoracia rusticana
N,H,Arnica lonchophylla,long-leaved arnica,,Arnica lonchophylla
N,H,Arnoglossum plantagineum,tuberous Indian plantain,,Cacalia plantaginea
N,H,Arnoglossum reniforme,great Indian plantain,,Cacalia muhlenbergii
N,D,Aronia melanocarpa,black chokeberry,,Aronia melanocarpa
I,H,Artemisia abrotanum,southernwood,,Artemisia abrotanum
I,H,Artemisia absinthium,absinthe wormwood,,Artemisia absinthium
I,H,Artemisia biennis,biennial wormwood,,Artemisia biennis
N,H,Artemisia campestris subsp. caudata,field sagewort,,Artemisia campestris subsp. caudata
N,H,Artemisia dracunculus,tarragon,,Artemisia dracunculus
N,H,Artemisia frigida,sage wormwood,,Artemisia frigida
N,H,Artemisia ludoviciana subsp. ludoviciana,white sage,,Artemisia ludoviciana var. ludoviciana
N,H,Artemisia serrata,saw-tooth wormwood,,Artemisia serrata
I,H,Artemisia vulgaris,common wormwood,,Artemisia vulgaris
N,H,Asarum canadense,wild ginger,,Asarum canadense
N,H,Asclepias amplexicaulis,clasping milkweed,,Asclepias amplexicaulis
N,H,Asclepias exaltata,poke milkweed,,Asclepias exaltata
N,H,Asclepias hirtella,prairie milkweed,,Asclepias hirtella
N,H,Asclepias incarnata subsp. incarnata,swamp milkweed,,Asclepias incarnata var. incarnata
N,H,Asclepias lanuginosa,woolly milkweed,,Asclepias lanuginosa
N,H,Asclepias ovalifolia,oval-leaved milkweed,,Asclepias ovalifolia
N,H,Asclepias speciosa,showy milkweed,,Asclepias speciosa
N,H,Asclepias stenophylla,narrow-leaved milkweed,,Asclepias stenophylla
N,H,Asclepias sullivantii,Sullivant's milkweed,,Asclepias sullivantii
N,H,Asclepias syriaca,common milkweed,,Asclepias syriaca
N,H,Asclepias tuberosa subsp. interior,butterflyweed,,Asclepias tuberosa var. interior
N,H,Asclepias verticillata,whorled milkweed,,Asclepias verticillata
N,H,Asclepias viridiflora,green milkweed,,Asclepias viridiflora
I,H,Asparagus officinalis,asparagus,,Asparagus officinalis
N,H,Asplenium platyneuron,ebony spleenwort,,Asplenium platyneuron
N,H,Asplenium rhizophyllum,walking fern,,Asplenium rhizophyllum
N,H,Asplenium trichomanes subsp. trichomanes,maidenhair spleenwort,,
N,H,Astragalus agrestis,fieldmilk-vetch,,Astragalus agrestis
N,H,Astragalus alpinus var. alpinus,alpine milk-vetch,,Astragalus alpinus var. alpinus
N,H,Astragalus canadensis var. canadensis,Canada milk-vetch,,Astragalus canadensis
I,H,Astragalus cicer,,,Astragalus cicer
N,H,Astragalus crassicarpus var. crassicarpus,ground plum,,Astragalus crassicarpus var. crassicarpus
N,H,Astragalus flexuosus var. flexuosus,slender milk-vetch,,Astragalus flexuosus var. flexuosus
N,H,Astragalus laxmannii var. robustior,prairie milk-vetch,,Astragalus adsurgens var. robustior
N,H,Astragalus lotiflorus,lotus milk-vetch,,Astragalus lotiflorus
N,H,Astragalus missouriensis var. missouriensis,Missouri milk-vetch,,Astragalus missouriensis var. missouriensis
N,H,Astragalus multiflorus,loose-flowered milk-vetch,,Astragalus tenellus
N,H,Astragalus neglectus,Cooper's milk-vetch,,Astragalus neglectus
N,H,Astragalus racemosus var. racemosus,racemose milk-vetch,,Astragalus racemosus var. racemosus
N,H,Athyrium filix-femina var. angustum,northern lady fern,,Athyrium filix-femina var. michauxii
I,H,Atriplex patula,spearscale,,Atriplex patula
N,H,Atriplex prostrata,thinleaf orach,,Atriplex hastata
N,H,Aureolaria grandiflora,large-flowered false foxglove,,"Aureolaria grandiflora, Aureolaria grandiflora var. pulchra"
N,H,Aureolaria pedicularia,fernleaf false foxglove,,"Aureolaria pedicularia, Aureolaria pedicularia var. ambigens, Aureolaria pedicularia var. pedicularia"
I,G,Avena fatua,wild oats,,Avena fatua
I,G,Avena sativa,cultivated oats,,Avena sativa
N,G,Avenula hookeri,spike oat,,Helictotrichon hookeri
I,H,Axyris amaranthoides,Russian pigweed,,Axyris amaranthoides
N,H,Azolla microphylla,Mexican mosquito fern,,Azolla mexicana
N,H,Bacopa rotundifolia,waterhyssop,,Bacopa rotundifolia
N,H,Baptisia lactea var. lactea,white wild indigo,,Baptisia lactea var. lactea
N,H,Baptisia leucophaea,plains wild indigo,,"Baptisia bracteata, Baptisia bracteata var. glabrescens"
N,H,Barbarea orthoceras,winter-cress,,Barbarea orthoceras
I,H,Barbarea vulgaris,yellow rocket,,Barbarea vulgaris
N,H,Bartonia virginica,yellow screwstem,,Bartonia virginica
N,G,Beckmannia syzigachne,American slough grass,,Beckmannia syzigachne
I,D,Berberis thunbergii,Japanese barberry,,Berberis thunbergii
I,D,Berberis vulgaris,common barberry,,Berberis vulgaris
I,H,Berteroa incana,hoary alyssum,,Berteroa incana
N,H,Berula incisa,stream parsnip,,Berula erecta
N,D,Betula alleghaniensis,yellow birch,,Betula alleghaniensis
N,D,Betula cordifolia,heart-leaved birch,,Betula papyrifera var. cordifolia
N,D,Betula nigra,river birch,,Betula nigra
N,D,Betula papyrifera,paper birch,,"Betula papyrifera s.l., Betula papyrifera var. papyrifera"
N,D,Betula pumila,bog birch,,Betula pumila
N,D,Betula xpurpusii,Purpus' birch,,Betula xpurpusii
N,D,Betula xrosendahlii,Rosendahl's birch,,
N,D,Betula xsandbergii,Sandberg's birch,,Betula xsandbergii
N,"F,H,S",Bidens beckii,water marigold,,Bidens beckii
N,H,Bidens cernua,nodding bur marigold,,Bidens cernua
N,H,Bidens connata,swamp beggarticks,,Bidens connata
N,H,Bidens discoidea,discoid beggarticks,,Bidens discoidea
N,H,Bidens frondosa,leafy beggarticks,,Bidens frondosa
N,H,Bidens trichosperma,showy beggarticks,,Bidens coronata
N,H,Bidens tripartita,tufted beggarticks,,Bidens comosa
N,H,Bidens vulgata,common beggarticks,,Bidens vulgata
N,H,Bistorta vivipara,alpine bistort,,Polygonum viviparum
N,H,Blephilia hirsuta,woodmint,,Blephilia hirsuta
N,H,Boechera canadensis,sicklepod,,Arabis canadensis
N,H,Boechera collinsii,Collins' rock cress,,Arabis holboellii
N,H,Boechera dentata,stellate rock cress,,Arabis shortii
N,H,Boechera grahamii,spreading rock cress,,Arabis divaricarpa
N,H,Boechera laevigata,smooth rock cress,Borodinia laevigata,"Arabis laevigata, Arabis laevigata var. laevigata"
N,H,Boechera missouriensis,green rock cress,,Arabis missouriensis
N,H,Boechera stricta,Drummond's rock cress,,Arabis drummondii
N,H,Boehmeria cylindrica,false nettle,,Boehmeria cylindrica
N,G,Bolboschoenus fluviatilis,river bulrush,,Scirpus fluviatilis
N,G,Bolboschoenus maritimus subsp. paludosus,prairie bulrush,,Scirpus maritimus var. paludosus
N,H,Boltonia asteroides,false aster,,Boltonia asteroides
N,H,Boltonia asteroides var. latisquama,false aster,,Boltonia asteroides var. latisquama
N,H,Boltonia asteroides var. recognita,false aster,,Boltonia asteroides var. recognita
N,H,Botrychium angustisegmentum,narrow triangle moonwort,,"Botrychium lanceolatum, Botrychium lanceolatum var. angustisegmentum"
N,H,Botrychium ascendens,upswept moonwort,,
N,H,Botrychium campestre,prairie moonwort,,
N,H,Botrychium campestre var. campestre,prairie moonwort,,Botrychium campestre
N,H,Botrychium campestre var. lineare,slender prairie moonwort,,
N,H,Botrychium crenulatum,crenulate moonwort,,
N,H,Botrychium gallicomontanum,Frenchman's Bluff moonwort,,
N,H,Botrychium matricariifolium,daisy-leaved moonwort,,Botrychium matricariaefolium var. matricariaefolium
N,H,Botrychium michiganense,Michigan moonwort,,
N,H,Botrychium minganense,Mingan moonwort,,Botrychium minganense
N,H,Botrychium mormo,little goblin,,Botrychium mormo
N,H,Botrychium neolunaria,New World moonwort,,Botrychium lunaria
N,H,Botrychium pallidum,pale moonwort,,
N,H,Botrychium simplex var. simplex,least moonwort,,Botrychium simplex var. simplex
N,H,Botrychium spathulatum,spatulate moonwort,,
N,H,Botrychium tenebrosum,swamp moonwort ,,
N,H,Botrypus virginianus,rattlesnake fern,,Botrychium virginianum
N,G,Bouteloua curtipendula var. curtipendula,side-oats grama,,Bouteloua curtipendula var. curtipendula
N,G,Bouteloua gracilis,blue grama,,Bouteloua gracilis
N,G,Bouteloua hirsuta var. hirsuta,hairy grama,,
N,G,Brachyelytrum aristosum,northern shorthusk,,"Brachyelytrum erectum s.l., Brachyelytrum erectum var. glabratum"
N,G,Brachyelytrum erectum,bearded shorthusk,,"Brachyelytrum erectum s.l., Brachyelytrum erectum var. erectum"
N,"F,H",Brasenia schreberi,watershield,,Brasenia schreberi
I,H,Brassica juncea,Indian mustard,,Brassica juncea
I,H,Brassica nigra,black mustard,,Brassica nigra
I,H,Brassica rapa,field mustard,,Brassica rapa
N,H,Brickellia eupatorioides var. corymbulosa,false boneset,,Kuhnia eupatorioides var. corymbulosa
N,G,Bromus ciliatus,fringed brome,,Bromus ciliatus
I,G,Bromus inermis,smooth brome,,Bromus inermis
I,G,Bromus japonicus,Japanese brome,,Bromus japonicus
N,G,Bromus kalmii,Kalm's brome,,Bromus kalmii
N,G,Bromus latiglumis,broad-glumed brome,,Bromus altissimus
N,G,Bromus pubescens,hairy brome,,Bromus pubescens
I,G,Bromus secalinus,rye brome,,Bromus secalinus
I,G,Bromus tectorum,cheatgrass,,Bromus tectorum
N,G,Buchloe dactyloides,buffalo grass,,Buchloe dactyloides
N,G,Bulbostylis capillaris,densetuft hairsedge,,Bulbostylis capillaris
I,H,Butomus umbellatus,flowering rush,,Butomus umbellatus
N,G,Calamagrostis canadensis,bluejoint,,Calamagrostis canadensis
N,G,Calamagrostis canadensis var. canadensis,bluejoint,,Calamagrostis canadensis
N,G,Calamagrostis canadensis var. langsdorfii,bluejoint,,Calamagrostis canadensis
N,G,Calamagrostis canadensis var. macouniana,bluejoint,,Calamagrostis canadensis
N,G,Calamagrostis montanensis,Plains reedgrass,,Calamagrostis montanensis
N,G,Calamagrostis purpurascens,purple reedgrass,,Calamagrostis purpurascens
N,G,Calamagrostis stricta,slimstem reedgrass,,Calamagrostis stricta
N,G,Calamagrostis stricta subsp. inexpansa,slimstem reedgrass,,"Calamagrostis lacustris, Calamagrostis stricta"
N,G,Calamagrostis stricta subsp. stricta,narrow reedgrass,,
N,G,Calamovilfa longifolia var. longifolia,prairie sandreed,,Calamovilfa longifolia var. longifolia
N,H,Calla palustris,wild calla,,Calla palustris
N,H,Callirhoe triangulata,clustered poppy-mallow,,Callirhoe triangulata
N,"F,H",Callitriche hermaphroditica,autumn water starwort,,Callitriche hermaphroditica
N,"F,H",Callitriche heterophylla,larger water starwort,,Callitriche heterophylla
N,"F,H",Callitriche palustris,spring water starwort,,Callitriche palustris
N,H,Calopogon oklahomensis,Oklahoma grass pink,,Calopogon oklahomensis
N,H,Calopogon tuberosus var. tuberosus,tuberous grass pink,,Calopogon tuberosus var. tuberosus
N,H,Caltha natans,floating marsh marigold,,Caltha natans
N,H,Caltha palustris,common marsh marigold,,Caltha palustris
N,H,Calypso bulbosa var. americana,fairy slipper,,Calypso bulbosa var. americana
N,H,Calystegia macounii,Macoun's false bindweed,,
N,H,Calystegia sepium,hedge bindweed,,Calystegia sepium
N,H,Calystegia sepium subsp. angulata,hedge bindweed,,
N,H,Calystegia sepium subsp. appalachiana,Appalachia false bindweed,,
N,H,Calystegia spithamaea,upright bindweed,,Calystegia spithamaea
N,H,Calystegia spithamaea subsp. spithamaea,upright bindweed,,
N,H,Calystegia spithamaea subsp. stans,upright bindweed,,
I,H,Camelina alyssum,European false flax,,Camelina alyssum
I,H,Camelina microcarpa,small-seeded false flax,,Camelina microcarpa
I,H,Camelina sativa,large-seeded false flax,,Camelina sativa
N,H,Campanula americana,tall bellflower,,Campanula americana
N,H,Campanula aparinoides,marsh bellflower,,Campanula aparinoides
N,H,Campanula aparinoides var. aparinoides,marsh bellflower,,Campanula aparinoides var. aparinoides
N,H,Campanula aparinoides var. grandiflora,marsh bellflower,,Campanula aparinoides var. grandiflora
I,H,Campanula cervicaria,bristly bluebells,,Campanula cervicaria
I,H,Campanula rapunculoides,European bellflower,,Campanula rapunculoides
N,H,Campanula rotundifolia,harebell,,Campanula rotundifolia
N,H,Canadanthus modestus,modest aster,,Aster modestus
I,H,Cannabis sativa,marijuana,,Cannabis sativa
I,H,Capsella bursa-pastoris,shepherd's-purse,,Capsella bursa-pastoris
I,D,Caragana arborescens,Siberian peashrub,,Caragana arborescens
N,H,Cardamine bulbosa,spring cress,,Cardamine rhomboidea
N,H,Cardamine concatenata,cut-leaved toothwort,,Cardamine concatenata
N,H,Cardamine douglassii,,,
I,H,Cardamine impatiens,narrowleaf bittercress,,Cardamine impatiens
N,H,Cardamine parviflora,small-flowered bitter cress,,Cardamine parviflora var. arenicola
N,H,Cardamine pensylvanica,Pensylvania bitter cress,,Cardamine pensylvanica
N,H,Cardamine pratensis,cuckoo flower,Cardamine dentata,"Cardamine pratensis, Cardamine pratensis var. palustris"
I,H,Cardamine pratensis,cuckoo flower,Cardamine pratensis,Cardamine pratensis var. pratensis
I,H,Carduus acanthoides subsp. acanthoides,plumeless thistle,,
I,H,Carduus nutans,nodding thistle,,Carduus nutans
N,G,Carex adusta,browned sedge,,Carex adusta
N,G,Carex albursina,white bear sedge,,Carex albursina
N,G,Carex alopecoidea,foxtail sedge,,Carex alopecoidea
N,G,Carex annectens,yellow-fruit sedge,,Carex vulpinoidea var. ambigua
N,G,Carex aquatilis,aquatic sedge,,Carex aquatilis
N,G,Carex aquatilis var. aquatilis,aquatic sedge,,Carex aquatilis var. aquatilis
N,G,Carex aquatilis var. substricta,aquatic sedge,,Carex aquatilis var. substricta
N,G,Carex arcta,northern clustered sedge,,Carex arcta
N,G,Carex arctata,drooping wood sedge,,Carex arctata
N,G,Carex assiniboinensis,assiniboine sedge,,Carex assiniboinensis
N,G,Carex atherodes,slough sedge,,Carex atherodes
N,G,Carex aurea,golden-fruited sedge,,Carex aurea
N,G,Carex backii,Back's sedge,,Carex backii s.l.
N,G,Carex bebbii,Bebb's sedge,,Carex bebbii
N,G,Carex bicknellii,Bicknell's sedge,,Carex bicknellii
N,G,Carex blanda,charming sedge,,Carex blanda
N,G,Carex brevior,plains oval sedge,,Carex brevior s.l.
N,G,Carex bromoides subsp. bromoides,brome-like sedge,,
N,G,Carex brunnescens,brownish sedge,,Carex brunnescens
N,G,Carex brunnescens subsp. brunnescens,brownish sedge,,Carex brunnescens
N,G,Carex brunnescens subsp. sphaerostachya,brownish sedge,,Carex brunnescens
N,G,Carex buxbaumii,Buxbaum's sedge,,Carex buxbaumii
N,G,Carex canescens,silvery sedge,,Carex canescens
N,G,Carex canescens subsp. canescens,silvery sedge,,Carex canescens
N,G,Carex canescens subsp. disjuncta,silvery sedge,,Carex canescens
N,G,Carex capillaris,hair-like sedge,,Carex capillaris
N,G,Carex careyana,Carey's sedge,,Carex careyana
N,G,Carex castanea,chestnut-colored sedge,,Carex castanea
N,G,Carex cephaloidea,cluster bracted sedge,,Carex sparganioides var. cephaloidea
N,G,Carex cephalophora,oval-headed sedge,,Carex cephalophora
N,G,Carex chordorrhiza,creeping sedge,,Carex chordorrhiza
N,G,Carex communis var. communis,colonial sedge,,
N,G,Carex comosa,bristly sedge,,Carex comosa
N,G,Carex conjuncta,jointed sedge,,Carex conjuncta
N,G,Carex conoidea,field sedge,Carex katahdinensis,Carex conoidea s.l.
N,G,Carex crawei,Crawe's sedge,,Carex crawei
N,G,Carex crawfordii,Crawford's sedge,,Carex crawfordii
N,G,Carex crinita var. crinita,fringe sedge,,
N,G,Carex cristatella,crested sedge,,Carex cristatella
N,G,Carex crus-corvi,raven's foot sedge,,Carex crus-corvi
N,G,Carex cryptolepis,cryptic sedge,,Carex cryptolepis
N,G,Carex davisii,Davis' sedge,,Carex davisii
N,G,Carex debilis var. rudgei,weak sedge,,Carex debilis var. rudgei
